epoch,train_loss,val_loss,train_ci,val_ci
0,2.841678429761699,2.7448838806152343,0.5,0.5
1,2.8808824336590546,2.7905755937099457,"tensor(0.5181, device='cuda:0')","tensor(0.5900, device='cuda:0')"
2,2.793124728869898,2.8357202957073846,"tensor(0.5686, device='cuda:0')","tensor(0.5965, device='cuda:0')"
3,2.7672760418659665,2.721467822790146,"tensor(0.5858, device='cuda:0')","tensor(0.6196, device='cuda:0')"
4,2.7416415517194284,2.7259740432103476,"tensor(0.5900, device='cuda:0')","tensor(0.6184, device='cuda:0')"
5,2.7518183462360364,2.726813773314158,"tensor(0.5891, device='cuda:0')","tensor(0.6176, device='cuda:0')"
6,2.5394987565865788,2.769277274608612,"tensor(0.6078, device='cuda:0')","tensor(0.6329, device='cuda:0')"
7,2.3711005856953755,2.77088655034701,"tensor(0.5948, device='cuda:0')","tensor(0.6158, device='cuda:0')"
8,2.3069136013021123,2.8403752148151398,"tensor(0.6006, device='cuda:0')","tensor(0.6236, device='cuda:0')"
9,2.2698167479100007,2.844361186027527,"tensor(0.5885, device='cuda:0')","tensor(0.5975, device='cuda:0')"
10,2.2404256200543338,2.795962190628052,"tensor(0.5963, device='cuda:0')","tensor(0.6361, device='cuda:0')"
11,2.4624423029509233,2.8181078930695853,"tensor(0.6043, device='cuda:0')","tensor(0.6440, device='cuda:0')"
12,2.443701605722694,2.789419412612915,"tensor(0.6055, device='cuda:0')","tensor(0.6397, device='cuda:0')"
13,2.4101862790053374,2.7671290934085846,"tensor(0.6063, device='cuda:0')","tensor(0.6410, device='cuda:0')"
14,2.40023145836252,2.782182812690735,"tensor(0.6091, device='cuda:0')","tensor(0.6160, device='cuda:0')"
15,2.3829817629848735,2.711137354373932,"tensor(0.6085, device='cuda:0')","tensor(0.6457, device='cuda:0')"
16,2.3838093114022763,2.7283441623051963,"tensor(0.6154, device='cuda:0')","tensor(0.6396, device='cuda:0')"
17,2.3783273956318594,2.697939693927765,"tensor(0.6166, device='cuda:0')","tensor(0.6562, device='cuda:0')"
18,2.375512832804665,2.7013299663861594,"tensor(0.6104, device='cuda:0')","tensor(0.6212, device='cuda:0')"
19,2.379982194752273,2.694814294576645,"tensor(0.6004, device='cuda:0')","tensor(0.6427, device='cuda:0')"
20,2.3735165305705888,2.715023159980774,"tensor(0.6083, device='cuda:0')","tensor(0.6531, device='cuda:0')"
21,2.374144492050012,2.715803583463033,"tensor(0.6057, device='cuda:0')","tensor(0.6156, device='cuda:0')"
22,2.3670040572863167,2.7283813456694284,"tensor(0.6086, device='cuda:0')","tensor(0.6225, device='cuda:0')"
23,2.3497543730266353,2.720330069462458,"tensor(0.6128, device='cuda:0')","tensor(0.6454, device='cuda:0')"
24,2.346897846676525,2.7092552284399667,"tensor(0.6186, device='cuda:0')","tensor(0.6010, device='cuda:0')"
25,2.346049350160391,2.714149698615074,"tensor(0.6191, device='cuda:0')","tensor(0.6298, device='cuda:0')"
26,2.346936716316895,2.725454181432724,"tensor(0.6275, device='cuda:0')","tensor(0.6289, device='cuda:0')"
27,2.3409514563071294,2.675786475340525,"tensor(0.6240, device='cuda:0')","tensor(0.6466, device='cuda:0')"
28,2.3383138303311997,2.6544260680675507,"tensor(0.6259, device='cuda:0')","tensor(0.6675, device='cuda:0')"
29,2.3404212800949966,2.669202317794164,"tensor(0.6259, device='cuda:0')","tensor(0.6531, device='cuda:0')"
30,2.352679694872446,2.7065395017464957,"tensor(0.6203, device='cuda:0')","tensor(0.6665, device='cuda:0')"
31,2.3346437252864938,2.6933440814415612,"tensor(0.6342, device='cuda:0')","tensor(0.6504, device='cuda:0')"
32,2.349602869755246,2.7177521089712777,"tensor(0.6223, device='cuda:0')","tensor(0.6377, device='cuda:0')"
33,2.336915246563254,2.6922706365585327,"tensor(0.6285, device='cuda:0')","tensor(0.6643, device='cuda:0')"
34,2.337059014201782,2.704626421133677,"tensor(0.6305, device='cuda:0')","tensor(0.6382, device='cuda:0')"
35,2.3308054597884262,2.7302152613798776,"tensor(0.6326, device='cuda:0')","tensor(0.6438, device='cuda:0')"
36,2.3287893255757544,2.654277713298798,"tensor(0.6404, device='cuda:0')","tensor(0.6445, device='cuda:0')"
37,2.316541872918606,2.691999673843384,"tensor(0.6431, device='cuda:0')","tensor(0.6545, device='cuda:0')"
38,2.3216495773335195,2.6855432838201523,"tensor(0.6427, device='cuda:0')","tensor(0.6432, device='cuda:0')"
39,2.342436041856677,2.694996953010559,"tensor(0.6276, device='cuda:0')","tensor(0.6447, device='cuda:0')"
40,2.32899076765683,2.720523864030838,"tensor(0.6346, device='cuda:0')","tensor(0.6468, device='cuda:0')"
41,2.330881056390278,2.6716787169377008,"tensor(0.6380, device='cuda:0')","tensor(0.6588, device='cuda:0')"
42,2.307966130385127,2.7176067332426705,"tensor(0.6499, device='cuda:0')","tensor(0.6442, device='cuda:0')"
43,2.3256148760800532,2.6980737348397574,"tensor(0.6399, device='cuda:0')","tensor(0.6301, device='cuda:0')"
44,2.327056381230553,2.691716561714808,"tensor(0.6325, device='cuda:0')","tensor(0.6419, device='cuda:0')"
45,2.3037403080747536,2.703239858150482,"tensor(0.6536, device='cuda:0')","tensor(0.6423, device='cuda:0')"
46,2.3212712618211904,2.7133752504984536,"tensor(0.6413, device='cuda:0')","tensor(0.6417, device='cuda:0')"
47,2.3207122655730172,2.688533236583074,"tensor(0.6363, device='cuda:0')","tensor(0.6294, device='cuda:0')"
48,2.328111671413165,2.644494205713272,"tensor(0.6444, device='cuda:0')","tensor(0.6368, device='cuda:0')"
49,2.314138781839084,2.6871334115664163,"tensor(0.6446, device='cuda:0')","tensor(0.6334, device='cuda:0')"
50,2.325219720138787,2.6816768050193787,"tensor(0.6389, device='cuda:0')","tensor(0.6491, device='cuda:0')"
51,2.315658029188146,2.6954596042633057,"tensor(0.6372, device='cuda:0')","tensor(0.6473, device='cuda:0')"
52,2.3148937095632207,2.6845116118590036,"tensor(0.6431, device='cuda:0')","tensor(0.6584, device='cuda:0')"
53,2.299753271236321,2.6438901352882387,"tensor(0.6452, device='cuda:0')","tensor(0.6313, device='cuda:0')"
54,2.3243902427544865,2.718474358320236,"tensor(0.6431, device='cuda:0')","tensor(0.6426, device='cuda:0')"
55,2.325406932460212,2.660160938898722,"tensor(0.6348, device='cuda:0')","tensor(0.6547, device='cuda:0')"
56,2.3103154131785577,2.652910297115644,"tensor(0.6478, device='cuda:0')","tensor(0.6462, device='cuda:0')"
57,2.313822100199566,2.6996940275033317,"tensor(0.6495, device='cuda:0')","tensor(0.6492, device='cuda:0')"
58,2.3169572699255276,2.6913849214712777,"tensor(0.6441, device='cuda:0')","tensor(0.6482, device='cuda:0')"
59,2.325510138674721,2.678290213147799,"tensor(0.6426, device='cuda:0')","tensor(0.6473, device='cuda:0')"
60,2.3293508402424155,2.6942011018594108,"tensor(0.6386, device='cuda:0')","tensor(0.6450, device='cuda:0')"
61,2.319978978349755,2.6459454870224,"tensor(0.6368, device='cuda:0')","tensor(0.6200, device='cuda:0')"
62,2.3174621984748645,2.693391799926758,"tensor(0.6480, device='cuda:0')","tensor(0.6505, device='cuda:0')"
63,2.3214362791782834,2.7092970311641693,"tensor(0.6457, device='cuda:0')","tensor(0.6378, device='cuda:0')"
64,2.322732987799175,2.703726907571157,"tensor(0.6419, device='cuda:0')","tensor(0.6318, device='cuda:0')"
65,2.330481356907385,2.618670845031738,"tensor(0.6403, device='cuda:0')","tensor(0.6391, device='cuda:0')"
66,2.342973694282492,2.6594332406918206,"tensor(0.6312, device='cuda:0')","tensor(0.6650, device='cuda:0')"
67,2.3150271547890697,2.6963482995827994,"tensor(0.6365, device='cuda:0')","tensor(0.6457, device='cuda:0')"
68,2.3262064765772053,2.6723927656809487,"tensor(0.6373, device='cuda:0')","tensor(0.6608, device='cuda:0')"
69,2.3227730816510057,2.685364216566086,"tensor(0.6402, device='cuda:0')","tensor(0.6546, device='cuda:0')"
70,2.3120830534653343,2.681910519798597,"tensor(0.6440, device='cuda:0')","tensor(0.6334, device='cuda:0')"
71,2.3139492946585225,2.7239170471827188,"tensor(0.6406, device='cuda:0')","tensor(0.6441, device='cuda:0')"
72,2.342194026615953,2.715254545211792,"tensor(0.6272, device='cuda:0')","tensor(0.6306, device='cuda:0')"
73,2.337772970990196,2.6767013569672904,"tensor(0.6356, device='cuda:0')","tensor(0.6509, device='cuda:0')"
74,2.3320024019695933,2.7030268808205924,"tensor(0.6411, device='cuda:0')","tensor(0.6482, device='cuda:0')"
75,2.3262958983683215,2.7087168395519257,"tensor(0.6314, device='cuda:0')","tensor(0.6537, device='cuda:0')"
76,2.331029778935131,2.616252191066742,"tensor(0.6324, device='cuda:0')","tensor(0.6627, device='cuda:0')"
77,2.3306909651336274,2.6915150086085,"tensor(0.6357, device='cuda:0')","tensor(0.6218, device='cuda:0')"
78,2.3333262242183785,2.6595396598180137,"tensor(0.6331, device='cuda:0')","tensor(0.6477, device='cuda:0')"
