epoch,train_loss,val_loss,train_ci,val_ci
0,237.44187990433193,110.73408713936806,0.11181313544511795,0.12468127906322479
1,2.8203028076053283,2.7329064706961312,"tensor(0.4207, device='cuda:0')","tensor(0.5466, device='cuda:0')"
2,2.7646585338473937,2.716192146142324,"tensor(0.4733, device='cuda:0')","tensor(0.5471, device='cuda:0')"
3,2.7419970350561984,2.723230868577957,"tensor(0.5173, device='cuda:0')","tensor(0.6249, device='cuda:0')"
4,2.737229190342167,2.7179515759150186,"tensor(0.5313, device='cuda:0')","tensor(0.6153, device='cuda:0')"
5,2.7311116389042356,2.6175605916976927,"tensor(0.5218, device='cuda:0')","tensor(0.6149, device='cuda:0')"
6,2.7287266149422047,2.717179516951243,"tensor(0.5317, device='cuda:0')","tensor(0.6229, device='cuda:0')"
7,2.727824448303855,2.716485152641932,"tensor(0.5327, device='cuda:0')","tensor(0.6166, device='cuda:0')"
8,2.7055052154422423,2.706579178571701,"tensor(0.5340, device='cuda:0')","tensor(0.6376, device='cuda:0')"
9,2.7189212240703364,2.649269084135691,"tensor(0.5536, device='cuda:0')","tensor(0.6685, device='cuda:0')"
10,2.7126978098419663,2.739579995473226,"tensor(0.5550, device='cuda:0')","tensor(0.6102, device='cuda:0')"
11,2.715520778468236,2.7085531254609427,"tensor(0.5485, device='cuda:0')","tensor(0.6331, device='cuda:0')"
12,2.725304588752707,2.7044446766376495,"tensor(0.5479, device='cuda:0')","tensor(0.6530, device='cuda:0')"
13,2.7164897955761056,2.687598099311193,"tensor(0.5490, device='cuda:0')","tensor(0.6295, device='cuda:0')"
14,2.715929126492436,2.6860660016536713,"tensor(0.5570, device='cuda:0')","tensor(0.6394, device='cuda:0')"
15,2.6995557194546715,2.638351619243622,"tensor(0.5534, device='cuda:0')","tensor(0.6390, device='cuda:0')"
16,2.6908492646686772,2.6822452346483865,"tensor(0.5592, device='cuda:0')","tensor(0.6345, device='cuda:0')"
17,2.686647911145897,2.67760960261027,"tensor(0.5745, device='cuda:0')","tensor(0.6420, device='cuda:0')"
18,2.708962772794338,2.700694461663564,"tensor(0.5600, device='cuda:0')","tensor(0.6720, device='cuda:0')"
19,2.7049274148101015,2.6312674024830693,"tensor(0.5648, device='cuda:0')","tensor(0.6608, device='cuda:0')"
20,2.6969623510084,2.671911746263504,"tensor(0.5615, device='cuda:0')","tensor(0.6390, device='cuda:0')"
21,2.689809823592092,2.6691131393114724,"tensor(0.5755, device='cuda:0')","tensor(0.6635, device='cuda:0')"
22,2.691423594642797,2.6877636313438416,"tensor(0.5694, device='cuda:0')","tensor(0.6371, device='cuda:0')"
23,2.6909104746240406,2.6531285643577576,"tensor(0.5665, device='cuda:0')","tensor(0.6224, device='cuda:0')"
24,2.706535879812092,2.705525279045105,"tensor(0.5709, device='cuda:0')","tensor(0.6631, device='cuda:0')"
25,2.6792171236146918,2.6715267300605774,"tensor(0.5843, device='cuda:0')","tensor(0.6351, device='cuda:0')"
26,2.6856337483065116,2.6829838156700134,"tensor(0.5782, device='cuda:0')","tensor(0.6562, device='cuda:0')"
27,2.6888668858325544,2.6876421670118966,"tensor(0.5766, device='cuda:0')","tensor(0.6423, device='cuda:0')"
28,2.6892504284418925,2.7063282628854117,"tensor(0.5727, device='cuda:0')","tensor(0.6363, device='cuda:0')"
29,2.6892190152499342,2.6687325735886893,"tensor(0.5759, device='cuda:0')","tensor(0.6548, device='cuda:0')"
30,2.682513222793223,2.6388187209765115,"tensor(0.5857, device='cuda:0')","tensor(0.6530, device='cuda:0')"
