epoch,train_loss,val_loss,train_ci,val_ci
0,2.7945907066523104,2.712902708053589,0.49686532170352543,0.5238301575183868
1,2.8374978767157835,2.6514565539360047,0.5438085328111995,0.6156144845485687
2,2.7474908390193407,2.916729082663854,0.6101197543230699,0.6114928325017294
3,2.7378646660345205,2.783300886551539,0.6143994410112115,0.5730699002742767
4,2.7388629073306068,2.813914199670156,0.6203712841080878,0.6211925273140272
5,2.732676536925716,2.840943455696106,0.6234563237027183,0.6238478372494379
6,2.3947698390545624,3.095804295539856,0.6104440384887043,0.5816388654708863
7,2.255015593890699,3.581065664688746,0.6040631867752174,0.6420681352416674
8,2.2394918308356884,3.488778014977773,0.593886139633742,0.6078893716136614
9,2.2471912923254496,3.3078280886014304,0.5945203522017583,0.630597710609436
10,2.245850558107999,3.4079980154832206,0.6059051528186996,0.6228248812258244
11,2.452287293468732,2.7658524165550866,0.6106364777591562,0.6675420055786768
12,2.386268486630731,2.792339026927948,0.6230005654337493,0.6188005457321802
13,2.374497524814902,2.740710695584615,0.6213496919586251,0.6428425200283527
14,2.3659017524570998,2.7633689244588218,0.6188620435450362,0.6091712315877279
15,2.351731284912386,2.720753421386083,0.6279593862091322,0.6221600522597631
16,2.352780106771795,2.720752328634262,0.628945116938087,0.6285350682834784
17,2.341167984848813,2.716051528851191,0.6385159145056275,0.653659580896298
18,2.340290015843248,2.7201288839181266,0.636878888224073,0.6428586952388287
19,2.3420428544128495,2.714940458536148,0.6389148104067294,0.6290888575216135
20,2.3264602589483707,2.7012293140093484,0.6436543493999718,0.6464187142749628
21,2.322511472232601,2.6918135384718576,0.6524614932623551,0.6574389164646467
22,2.3232584166403263,2.698352187871933,0.6436059905766206,0.658981379121542
23,2.3152402102020737,2.67963515718778,0.6473017467735963,0.6607846021652222
24,2.315380678275706,2.6532757778962455,0.6546017073596697,0.6689777759214243
25,2.3195279132516893,2.6918549040953317,0.6470625863791747,0.6514020102719466
26,2.3152805770617073,2.7005924185117087,0.6478582691652169,0.6323808481295904
